MSO Group Name,Shop,WeekEndingCY,Net Sales - CY,Sales / Day,Net Sales - PY,Net Sales - YoY %,CPD,CPD - PY,Cars,Cars - PY,Cars - YoY %,Discounts $ - CY,Discounts % - CY,Discounts per Car - CY,Net ARO - CY,Net ARO - PY,Net ARO - YoY %,Prem Oil % - CY,Premium Oil % - PY,High Mileage Opportunity - CY,Big 5 % - CY,Air Filter % - CY,Wiper Blades % - CY,Premium Wiper Blades % - CY,Cabin Filter % - CY,Coolant % - CY,Fuel System Cleaner % - CY ,Oil Change Ticket Average - CY,BayTime,Customers New % - CY,Customers Repeat % - CY,Emission Tickets - CY,Emission Gross ARO - CY,Emissions with Oil Change Tickets - CY,Emissions with Big 5 % - CY,Emissions Penetration %,Fleet % of Oil Changes - CY,Fleet % of Oil Changes - PY,Fleet ARO - CY,Fleet Discount $ - CY,Fleet Discount % - CY,Fleet Net Sales - CY,Fleet Oil Changes - CY
WSM Ventures,1200,1/14/2023,"$21,356.96","$3,051",$0.00,-,31.6,0.0,221,0,0.0%,$738.58,3.3%,$3.34,$96.64,$0.00,-100.0%,75.1%,0.0%,0.0%,30.3%,17.6%,8.6%,4.1%,2.3%,1.8%,0.0%,$94.57,11.1,34.4%,68.3%,38,$39.84,12,0.0%,17.2%,0.9%,0.0%,$107.98,$5.98,2.7%,$215.95,2
WSM Ventures,1201,1/14/2023,"$19,386.90","$2,770",$0.00,-,29.9,0.0,209,0,0.0%,"$1,797.71",8.5%,$8.60,$92.76,$0.00,-100.0%,82.8%,0.0%,0.0%,44.0%,22.0%,0.0%,0.0%,15.3%,6.7%,0.0%,$90.64,9.6,41.1%,64.2%,0,$0.00,0,0.0%,0.0%,8.6%,0.0%,$56.22,$260.18,20.5%,"$1,011.89",18
WSM Ventures,1202,1/14/2023,"$30,290.24","$4,327",$0.00,-,44.7,0.0,313,0,0.0%,"$2,109.86",6.5%,$6.74,$96.77,$0.00,-100.0%,81.8%,0.0%,0.0%,39.6%,20.8%,9.9%,7.0%,4.5%,4.5%,0.0%,$96.14,9.6,28.4%,68.6%,0,$0.00,0,0.0%,0.0%,1.9%,0.0%,$68.41,$87.92,17.6%,$410.43,6
WSM Ventures,1203,1/14/2023,"$8,803.61","$1,258",$0.00,-,14.7,0.0,103,0,0.0%,"$1,256.67",12.5%,$12.20,$85.47,$0.00,-100.0%,81.6%,0.0%,0.0%,37.9%,21.4%,6.8%,3.9%,6.8%,2.9%,0.0%,$85.19,11.0,58.9%,41.1%,0,$0.00,0,0.0%,0.0%,4.9%,0.0%,$62.86,$51.31,14.0%,$314.28,5
WSM Ventures,1204,1/14/2023,$0.00,$0,$0.00,-,0.0,0.0,0,0,0.0%,$0.00,0.0%,$0.00,$0.00,$0.00,-100.0%,0.0%,0.0%,0.0%,0.0%,-,-,-,-,-,-,-,0.0,0.0%,0.0%,0,$0.00,0,0.0%,-,0.0%,0.0%,-,$0.00,0.0%,$0.00,0
WSM Ventures,1205,1/14/2023,"$17,808.40","$2,544",$0.00,-,28.3,0.0,198,0,0.0%,"$1,736.47",8.9%,$8.77,$89.94,$0.00,-100.0%,79.3%,0.0%,0.0%,42.4%,15.7%,15.2%,11.1%,7.6%,4.0%,0.0%,$89.47,9.8,69.2%,32.5%,0,$0.00,0,0.0%,0.0%,4.5%,0.0%,$64.74,$156.59,21.2%,$582.62,9
WSM Ventures,1206,1/14/2023,"$11,439.57","$1,634",$0.00,-,17.6,0.0,123,0,0.0%,"$1,099.27",8.8%,$8.94,$93.00,$0.00,-100.0%,92.7%,0.0%,0.0%,31.7%,23.6%,4.1%,2.4%,0.8%,3.3%,0.0%,$92.10,10.3,49.3%,52.1%,0,$0.00,0,0.0%,0.0%,1.6%,0.0%,$69.61,$56.74,29.0%,$139.21,2
WSM Ventures,1207,1/14/2023,"$13,111.26","$1,873",$0.00,-,22.7,0.0,159,0,0.0%,"$1,680.18",11.4%,$10.57,$82.46,$0.00,-100.0%,76.7%,0.0%,0.0%,27.7%,20.8%,3.1%,1.3%,3.1%,0.6%,0.0%,$82.14,10.8,48.2%,50.2%,0,$0.00,0,0.0%,0.0%,8.8%,0.0%,$38.99,$223.86,29.1%,$545.83,14
WSM Ventures,1598,1/14/2023,"$14,490.35","$2,070",$0.00,-,22.7,0.0,159,0,0.0%,"$1,505.09",9.4%,$9.47,$91.13,$0.00,-100.0%,79.2%,0.0%,0.0%,33.3%,14.5%,9.4%,6.9%,2.5%,6.9%,0.0%,$89.05,10.7,31.9%,67.4%,0,$0.00,0,0.0%,0.0%,13.2%,0.0%,$80.23,$423.05,20.1%,"$1,684.74",21
WSM Ventures,1599,1/14/2023,"$19,878.57","$2,840",$0.00,-,29.9,0.0,209,0,0.0%,"$1,331.51",6.3%,$6.37,$95.11,$0.00,-100.0%,88.0%,0.0%,0.0%,34.9%,14.8%,12.4%,10.0%,4.8%,2.9%,0.0%,$94.24,9.9,30.8%,68.1%,0,$0.00,0,0.0%,0.0%,3.3%,0.0%,$68.53,$127.09,20.9%,$479.74,7
WSM Ventures,1600,1/14/2023,"$12,522.26","$1,789",$0.00,-,21.9,0.0,153,0,0.0%,"$1,331.62",9.6%,$8.70,$81.84,$0.00,-100.0%,73.2%,0.0%,0.0%,21.6%,8.5%,7.8%,4.6%,3.9%,1.3%,0.0%,$80.87,11.3,27.1%,74.7%,0,$0.00,0,0.0%,0.0%,12.4%,0.0%,$66.84,$374.13,22.8%,"$1,269.98",19
WSM Ventures,1198,1/21/2023,"$21,492.74","$3,070",$0.00,-,35.7,0.0,250,0,0.0%,"$1,918.58",8.2%,$7.67,$85.97,$0.00,-100.0%,81.6%,0.0%,0.0%,24.4%,15.6%,4.4%,1.2%,2.4%,2.0%,0.0%,$85.70,11.4,22.1%,74.3%,0,$0.00,0,0.0%,0.0%,4.4%,0.0%,$78.28,$263.82,23.5%,$861.06,11
WSM Ventures,1199,1/21/2023,"$25,901.50","$3,700",$0.00,-,37.9,0.0,265,0,0.0%,$888.16,3.3%,$3.35,$97.74,$0.00,-100.0%,82.6%,0.0%,0.0%,33.2%,23.4%,3.4%,1.1%,2.3%,4.2%,0.0%,$97.22,9.7,26.8%,69.6%,0,$0.00,0,0.0%,0.0%,2.6%,0.0%,$78.37,$110.69,16.8%,$548.61,7
WSM Ventures,1200,1/21/2023,"$22,549.38","$3,221",$0.00,-,30.3,0.0,212,0,0.0%,$622.59,2.7%,$2.94,$106.37,$0.00,-100.0%,76.9%,0.0%,0.0%,39.2%,25.0%,7.1%,5.7%,3.3%,3.8%,0.0%,$101.84,10.6,28.2%,68.7%,47,$41.38,8,12.8%,22.2%,1.4%,0.0%,$55.74,$43.68,20.7%,$167.22,3
WSM Ventures,1201,1/21/2023,"$23,170.64","$3,310",$0.00,-,31.3,0.0,219,0,0.0%,"$2,115.44",8.4%,$9.66,$105.80,$0.00,-100.0%,84.0%,0.0%,0.0%,74.0%,32.4%,6.4%,2.3%,21.9%,13.2%,0.0%,$104.41,11.4,37.1%,61.0%,0,$0.00,0,0.0%,0.0%,4.1%,0.0%,$38.99,$143.91,29.1%,$350.90,9
WSM Ventures,1202,1/21/2023,"$29,909.07","$4,273",$0.00,-,41.6,0.0,291,0,0.0%,"$1,778.05",5.6%,$6.11,$102.78,$0.00,-100.0%,87.3%,0.0%,0.0%,43.6%,24.7%,8.2%,5.5%,6.2%,4.5%,0.0%,$101.81,11.2,32.1%,69.8%,0,$0.00,0,0.0%,0.0%,2.1%,0.0%,$77.11,$57.16,11.0%,$462.67,6
WSM Ventures,1203,1/21/2023,"$9,336.79","$1,334",$0.00,-,13.9,0.0,97,0,0.0%,"$1,207.69",11.5%,$12.45,$96.26,$0.00,-100.0%,79.4%,0.0%,0.0%,59.8%,28.9%,16.5%,11.3%,8.2%,6.2%,0.0%,$93.04,12.0,62.4%,39.5%,0,$0.00,0,0.0%,0.0%,11.3%,0.0%,$74.29,$203.46,19.9%,$817.17,11
WSM Ventures,1204,1/21/2023,$0.00,$0,$0.00,-,0.0,0.0,0,0,0.0%,$0.00,0.0%,$0.00,$0.00,$0.00,-100.0%,0.0%,0.0%,0.0%,0.0%,-,-,-,-,-,-,-,0.0,0.0%,0.0%,0,$0.00,0,0.0%,-,0.0%,0.0%,-,$0.00,0.0%,$0.00,0
WSM Ventures,1205,1/21/2023,"$19,093.72","$2,728",$0.00,-,28.9,0.0,202,0,0.0%,"$1,290.61",6.3%,$6.39,$94.52,$0.00,-100.0%,82.2%,0.0%,0.0%,46.0%,17.3%,10.4%,7.9%,13.9%,4.5%,0.0%,$94.11,9.2,63.1%,33.9%,0,$0.00,0,0.0%,0.0%,5.0%,0.0%,$66.55,$185.70,21.8%,$665.52,10
WSM Ventures,1206,1/21/2023,"$11,438.94","$1,634",$0.00,-,18.3,0.0,128,0,0.0%,$933.49,7.5%,$7.29,$89.37,$0.00,-100.0%,82.8%,0.0%,0.0%,30.5%,22.7%,3.1%,0.8%,2.3%,2.3%,0.0%,$87.73,10.0,55.7%,47.4%,0,$0.00,0,0.0%,0.0%,4.7%,0.0%,$55.07,$86.48,20.7%,$330.39,6
WSM Ventures,1207,1/21/2023,"$11,803.26","$1,686",$0.00,-,20.1,0.0,141,0,0.0%,"$1,278.05",9.8%,$9.06,$83.71,$0.00,-100.0%,83.0%,0.0%,0.0%,24.8%,17.7%,5.7%,0.7%,0.7%,0.7%,0.0%,$83.08,10.1,45.3%,53.3%,0,$0.00,0,0.0%,0.0%,4.3%,0.0%,$39.49,$96.94,29.0%,$236.93,6
WSM Ventures,1598,1/21/2023,"$12,706.28","$1,815",$0.00,-,20.0,0.0,140,0,0.0%,"$1,140.95",8.2%,$8.15,$90.76,$0.00,-100.0%,80.0%,0.0%,0.0%,40.0%,19.3%,7.1%,3.6%,5.7%,7.9%,0.0%,$90.39,10.1,36.0%,66.2%,0,$0.00,0,0.0%,0.0%,13.6%,0.0%,$72.88,$458.91,24.9%,"$1,384.74",19
WSM Ventures,1599,1/21/2023,"$18,538.10","$2,648",$0.00,-,27.9,0.0,195,0,0.0%,$972.63,5.0%,$4.99,$95.07,$0.00,-100.0%,87.2%,0.0%,0.0%,36.9%,14.4%,9.7%,6.7%,7.2%,5.6%,0.0%,$94.69,10.1,33.6%,67.9%,0,$0.00,0,0.0%,0.0%,6.7%,0.0%,$93.65,$184.61,13.2%,"$1,217.40",13
WSM Ventures,1600,1/21/2023,"$12,735.34","$1,819",$0.00,-,22.1,0.0,155,0,0.0%,$933.07,6.8%,$6.02,$82.16,$0.00,-100.0%,72.3%,0.0%,0.0%,22.6%,11.6%,5.2%,1.3%,4.5%,1.3%,0.0%,$82.16,10.5,25.4%,73.7%,0,$0.00,0,0.0%,0.0%,11.6%,0.0%,$76.88,$333.64,19.4%,"$1,383.77",18
WSM Ventures,1198,1/28/2023,"$18,748.19","$2,678",$0.00,-,30.1,0.0,211,0,0.0%,"$1,620.74",8.0%,$7.68,$88.85,$0.00,-100.0%,81.5%,0.0%,0.0%,31.8%,20.4%,4.3%,1.9%,6.2%,0.9%,0.0%,$88.49,11.2,23.9%,77.0%,0,$0.00,0,0.0%,0.0%,3.3%,0.0%,$67.30,$168.68,26.4%,$471.11,7
WSM Ventures,1199,1/28/2023,"$21,408.91","$3,058",$0.00,-,34.0,0.0,238,0,0.0%,$957.50,4.3%,$4.02,$89.95,$0.00,-100.0%,75.2%,0.0%,0.0%,23.1%,15.1%,5.5%,3.4%,0.8%,1.7%,0.0%,$89.29,10.4,32.8%,70.5%,0,$0.00,0,0.0%,0.0%,3.4%,0.0%,$82.19,$133.81,16.9%,$657.48,8
WSM Ventures,1200,1/28/2023,"$20,696.39","$2,957",$0.00,-,31.0,0.0,217,0,0.0%,$757.66,3.5%,$3.49,$95.38,$0.00,-100.0%,76.0%,0.0%,0.0%,26.7%,18.0%,4.1%,2.8%,1.4%,2.3%,0.0%,$92.03,10.9,31.8%,70.0%,36,$40.75,7,11.1%,16.6%,0.9%,0.0%,$72.03,$21.90,13.2%,$144.06,2
WSM Ventures,1201,1/28/2023,"$19,972.76","$2,853",$0.00,-,30.0,0.0,210,0,0.0%,"$2,246.83",10.1%,$10.70,$95.11,$0.00,-100.0%,82.4%,0.0%,0.0%,59.0%,34.8%,3.3%,1.0%,18.1%,2.9%,0.0%,$93.46,12.2,32.8%,65.0%,0,$0.00,0,0.0%,0.0%,10.5%,0.0%,$47.77,$406.56,27.9%,"$1,050.87",22
WSM Ventures,1202,1/28/2023,"$27,722.39","$3,960",$0.00,-,40.0,0.0,280,0,0.0%,"$2,145.13",7.2%,$7.66,$99.01,$0.00,-100.0%,82.5%,0.0%,0.0%,47.5%,26.1%,8.9%,5.0%,7.5%,5.0%,0.0%,$98.09,11.7,28.0%,69.9%,0,$0.00,0,0.0%,0.0%,3.6%,0.0%,$115.21,$165.58,12.6%,"$1,152.13",10
WSM Ventures,1203,1/28/2023,"$10,974.94","$1,568",$0.00,-,16.7,0.0,117,0,0.0%,"$1,342.81",10.9%,$11.48,$93.80,$0.00,-100.0%,83.8%,0.0%,0.0%,57.3%,26.5%,12.8%,9.4%,12.8%,5.1%,0.0%,$92.55,13.3,50.7%,44.2%,0,$0.00,0,0.0%,0.0%,0.9%,0.0%,$131.20,$50.74,27.9%,$131.20,1
WSM Ventures,1204,1/28/2023,$0.00,$0,$0.00,-,0.0,0.0,0,0,0.0%,$0.00,0.0%,$0.00,$0.00,$0.00,-100.0%,0.0%,0.0%,0.0%,0.0%,-,-,-,-,-,-,-,0.0,0.0%,0.0%,0,$0.00,0,0.0%,-,0.0%,0.0%,-,$0.00,0.0%,$0.00,0
WSM Ventures,1205,1/28/2023,"$16,952.34","$2,422",$0.00,-,25.3,0.0,177,0,0.0%,$898.06,5.0%,$5.07,$95.78,$0.00,-100.0%,82.5%,0.0%,0.0%,41.8%,20.3%,11.3%,9.6%,6.8%,3.4%,0.0%,$95.34,9.5,62.9%,37.0%,0,$0.00,0,0.0%,0.0%,4.0%,0.0%,$93.67,$134.57,17.0%,$655.67,7
WSM Ventures,1206,1/28/2023,"$9,894.81","$1,414",$0.00,-,16.4,0.0,115,0,0.0%,"$1,007.47",9.2%,$8.76,$86.04,$0.00,-100.0%,89.6%,0.0%,0.0%,13.9%,8.7%,3.5%,1.7%,1.7%,0.0%,0.0%,$85.87,10.6,51.7%,46.2%,0,$0.00,0,0.0%,0.0%,0.9%,0.0%,$37.49,$15.49,29.2%,$37.49,1
WSM Ventures,1207,1/28/2023,"$11,954.71","$1,708",$0.00,-,20.3,0.0,142,0,0.0%,"$1,497.01",11.1%,$10.54,$84.19,$0.00,-100.0%,81.0%,0.0%,0.0%,29.6%,23.9%,3.5%,1.4%,2.1%,0.0%,0.0%,$83.43,11.1,46.2%,54.3%,0,$0.00,0,0.0%,0.0%,7.7%,0.0%,$40.08,$179.89,29.0%,$440.85,11
WSM Ventures,1598,1/28/2023,"$13,797.52","$1,971",$0.00,-,19.9,0.0,139,0,0.0%,$928.48,6.3%,$6.68,$99.26,$0.00,-100.0%,81.3%,0.0%,0.0%,49.6%,18.7%,13.7%,10.1%,6.5%,10.8%,0.0%,$97.94,10.7,29.8%,67.2%,0,$0.00,0,0.0%,0.0%,7.2%,0.0%,$81.20,$211.21,20.6%,$811.98,10
WSM Ventures,1599,1/28/2023,"$18,749.38","$2,678",$0.00,-,28.6,0.0,200,0,0.0%,$942.47,4.8%,$4.71,$93.75,$0.00,-100.0%,83.5%,0.0%,0.0%,40.0%,20.0%,10.5%,7.5%,6.5%,3.0%,0.0%,$93.47,9.8,28.2%,69.1%,0,$0.00,0,0.0%,0.0%,7.5%,0.0%,$92.82,$217.72,13.5%,"$1,392.26",15
WSM Ventures,1600,1/28/2023,"$13,920.97","$1,989",$0.00,-,22.4,0.0,157,0,0.0%,"$1,128.36",7.5%,$7.19,$88.67,$0.00,-100.0%,75.2%,0.0%,0.0%,37.6%,14.6%,7.0%,5.1%,12.1%,3.8%,0.0%,$88.27,10.9,29.7%,72.5%,0,$0.00,0,0.0%,0.0%,11.5%,0.0%,$84.92,$405.05,20.9%,"$1,528.50",18
WSM Ventures,1198,2/4/2023,"$22,731.60","$3,247",$0.00,-,37.4,0.0,262,0,0.0%,"$2,348.08",9.4%,$8.96,$86.76,$0.00,-100.0%,80.5%,0.0%,0.0%,33.2%,19.1%,6.9%,4.6%,4.2%,3.1%,0.0%,$85.36,11.6,28.4%,72.9%,0,$0.00,0,0.0%,0.0%,6.1%,0.0%,$74.37,$254.38,17.6%,"$1,189.87",16
WSM Ventures,1199,2/4/2023,"$20,760.35","$2,966",$0.00,-,32.4,0.0,227,0,0.0%,"$1,455.30",6.6%,$6.41,$91.46,$0.00,-100.0%,77.1%,0.0%,0.0%,29.5%,18.9%,4.4%,1.8%,4.4%,1.8%,0.0%,$91.23,11.7,33.2%,67.9%,0,$0.00,0,0.0%,0.0%,3.5%,0.0%,$107.70,$149.10,14.8%,$861.62,8
WSM Ventures,1200,2/4/2023,"$21,093.93","$3,013",$0.00,-,30.3,0.0,212,0,0.0%,$821.00,3.7%,$3.87,$99.50,$0.00,-100.0%,75.9%,0.0%,0.0%,35.8%,24.5%,6.6%,4.7%,3.3%,1.4%,0.0%,$96.16,11.2,29.9%,69.8%,40,$28.85,5,2.5%,18.9%,4.7%,0.0%,$75.76,$128.58,14.5%,$757.61,10
WSM Ventures,1201,2/4/2023,"$21,621.47","$3,089",$0.00,-,31.4,0.0,220,0,0.0%,"$2,513.38",10.4%,$11.42,$98.28,$0.00,-100.0%,87.3%,0.0%,0.0%,62.7%,35.9%,3.2%,0.9%,20.9%,2.7%,0.0%,$96.54,12.9,27.1%,70.2%,0,$0.00,0,0.0%,0.0%,5.9%,0.0%,$38.99,$207.87,29.1%,$506.85,13
WSM Ventures,1202,2/4/2023,"$31,064.42","$4,438",$0.00,-,45.6,0.0,319,0,0.0%,"$2,731.33",8.1%,$8.56,$97.38,$0.00,-100.0%,85.9%,0.0%,0.0%,46.4%,29.8%,6.3%,5.0%,5.6%,4.7%,0.0%,$96.89,10.7,28.5%,69.6%,0,$0.00,0,0.0%,0.0%,2.2%,0.0%,$75.10,$52.59,9.1%,$525.70,7
WSM Ventures,1203,2/4/2023,"$10,408.06","$1,487",$0.00,-,16.4,0.0,115,0,0.0%,"$1,403.63",11.9%,$12.21,$90.50,$0.00,-100.0%,85.2%,0.0%,0.0%,51.3%,26.1%,16.5%,10.4%,7.0%,1.7%,0.0%,$89.00,12.4,55.8%,45.0%,0,$0.00,0,0.0%,0.0%,7.8%,0.0%,$77.81,$122.45,14.9%,$700.30,9
WSM Ventures,1204,2/4/2023,"$2,485.70","$1,243",$0.00,-,13.0,0.0,26,0,0.0%,$300.00,10.8%,$11.54,$95.60,$0.00,-100.0%,80.8%,0.0%,0.0%,53.8%,34.6%,11.5%,7.7%,0.0%,7.7%,0.0%,$95.41,12.5,67.7%,32.3%,0,$0.00,0,0.0%,0.0%,0.0%,0.0%,-,$0.00,0.0%,$0.00,0
WSM Ventures,1205,2/4/2023,"$19,796.63","$2,828",$0.00,-,31.4,0.0,220,0,0.0%,"$1,907.56",8.8%,$8.67,$89.98,$0.00,-100.0%,77.7%,0.0%,0.0%,41.8%,17.7%,12.3%,8.6%,7.3%,4.5%,0.0%,$89.39,9.9,53.6%,39.6%,0,$0.00,0,0.0%,0.0%,5.5%,0.0%,$63.04,$186.46,19.8%,$756.46,12
WSM Ventures,1206,2/4/2023,"$12,104.44","$1,729",$0.00,-,20.1,0.0,141,0,0.0%,"$1,334.44",9.9%,$9.46,$85.85,$0.00,-100.0%,84.4%,0.0%,0.0%,27.7%,19.9%,4.3%,0.0%,2.1%,1.4%,0.0%,$85.61,10.8,50.0%,50.6%,0,$0.00,0,0.0%,0.0%,0.7%,0.0%,$74.68,$8.30,10.0%,$74.68,1
WSM Ventures,1207,2/4/2023,"$12,315.55","$1,759",$0.00,-,21.4,0.0,150,0,0.0%,"$1,576.12",11.3%,$10.51,$82.10,$0.00,-100.0%,79.3%,0.0%,0.0%,29.3%,19.3%,6.7%,2.0%,2.7%,0.7%,0.0%,$79.54,10.7,44.9%,52.8%,0,$0.00,0,0.0%,0.0%,11.3%,0.0%,$41.02,$277.35,28.5%,$697.30,17
WSM Ventures,1598,2/4/2023,"$14,832.92","$2,119",$0.00,-,23.1,0.0,162,0,0.0%,"$1,345.61",8.3%,$8.31,$91.56,$0.00,-100.0%,77.2%,0.0%,0.0%,40.1%,16.0%,12.3%,8.6%,5.6%,6.2%,0.0%,$90.50,11.3,29.9%,68.9%,0,$0.00,0,0.0%,0.0%,14.8%,0.0%,$82.65,$543.33,21.5%,"$1,983.62",24
